state,year,law,definition,status,link
Alabama,1998,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1998,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1998,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1998,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1998,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1998,security,At least one store security precaution required,Repealed,
Alabama,1998,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1998,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1998,mayissue,"""May issue"" state",Repealed,
Alabama,1998,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1998,nosyg,No stand your ground law,Repealed,
Alabama,1998,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1999,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1999,dealerh,State dealer license required for handgun sales,Current,
Alabama,1999,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1999,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1999,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1999,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1999,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1999,security,At least one store security precaution required,Repealed,
Alabama,1999,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1999,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1999,mayissue,"""May issue"" state",Repealed,
Alabama,1999,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1999,nosyg,No stand your ground law,Repealed,
Alabama,1999,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,2000,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2000,dealerh,State dealer license required for handgun sales,Current,
Alabama,2000,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2000,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2000,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2000,security,At least one store security precaution required,Repealed,
Alabama,2000,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2000,mayissue,"""May issue"" state",Repealed,
Alabama,2000,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2000,nosyg,No stand your ground law,Repealed,
Alabama,2001,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2001,dealerh,State dealer license required for handgun sales,Current,
Alabama,2001,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2001,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2001,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2001,security,At least one store security precaution required,Repealed,
Alabama,2001,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2001,mayissue,"""May issue"" state",Repealed,
Alabama,2001,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2001,nosyg,No stand your ground law,Repealed,
Alabama,2002,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2002,dealerh,State dealer license required for handgun sales,Current,
Alabama,2002,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2002,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2002,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2002,security,At least one store security precaution required,Repealed,
Alabama,2002,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2002,mayissue,"""May issue"" state",Repealed,
Alabama,2002,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2002,nosyg,No stand your ground law,Repealed,
Alabama,2003,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2003,dealerh,State dealer license required for handgun sales,Current,
Alabama,2003,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2003,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2003,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2003,security,At least one store security precaution required,Repealed,
Alabama,2003,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2003,mayissue,"""May issue"" state",Repealed,
Alabama,2003,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2003,nosyg,No stand your ground law,Repealed,
Alabama,2004,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2004,dealerh,State dealer license required for handgun sales,Current,
Alabama,2004,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2004,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2004,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2004,security,At least one store security precaution required,Repealed,
Alabama,2004,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2004,mayissue,"""May issue"" state",Repealed,
Alabama,2004,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2004,nosyg,No stand your ground law,Repealed,
Alabama,2005,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2005,dealerh,State dealer license required for handgun sales,Current,
Alabama,2005,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2005,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2005,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2005,security,At least one store security precaution required,Repealed,
Alabama,2005,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2005,mayissue,"""May issue"" state",Repealed,
Alabama,2005,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2005,nosyg,No stand your ground law,Repealed,
Alabama,2006,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2006,dealerh,State dealer license required for handgun sales,Current,
Alabama,2006,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2006,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2006,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2006,security,At least one store security precaution required,Repealed,
Alabama,2006,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2006,mayissue,"""May issue"" state",Repealed,
Alabama,2006,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2006,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2007,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2007,dealerh,State dealer license required for handgun sales,Current,
Alabama,2007,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2007,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2007,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2007,security,At least one store security precaution required,Repealed,
Alabama,2007,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2007,mayissue,"""May issue"" state",Repealed,
Alabama,2007,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2007,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2008,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2008,dealerh,State dealer license required for handgun sales,Current,
Alabama,2008,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2008,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2008,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2008,security,At least one store security precaution required,Repealed,
Alabama,2008,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2008,mayissue,"""May issue"" state",Repealed,
Alabama,2008,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2008,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2009,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2009,dealerh,State dealer license required for handgun sales,Current,
Alabama,2009,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2009,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2009,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2009,security,At least one store security precaution required,Repealed,
Alabama,2009,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2009,mayissue,"""May issue"" state",Repealed,
Alabama,2009,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2009,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2010,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2010,dealerh,State dealer license required for handgun sales,Current,
Alabama,2010,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2010,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2010,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2010,security,At least one store security precaution required,Repealed,
Alabama,2010,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2010,mayissue,"""May issue"" state",Repealed,
Alabama,2010,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2010,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2011,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2011,dealerh,State dealer license required for handgun sales,Current,
Alabama,2011,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2011,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2011,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2011,security,At least one store security precaution required,Repealed,
Alabama,2011,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2011,mayissue,"""May issue"" state",Repealed,
Alabama,2011,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2011,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2012,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2012,dealerh,State dealer license required for handgun sales,Current,
Alabama,2012,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2012,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2012,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2012,security,At least one store security precaution required,Repealed,
Alabama,2012,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2012,mayissue,"""May issue"" state",Repealed,
Alabama,2012,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,2012,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2013,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2013,dealerh,State dealer license required for handgun sales,Current,
Alabama,2013,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2013,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2013,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2013,security,At least one store security precaution required,Repealed,
Alabama,2013,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2013,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2013,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Alabama,2014,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2014,dealerh,State dealer license required for handgun sales,Current,
Alabama,2014,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,2014,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,2014,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,2014,security,At least one store security precaution required,Repealed,
Alabama,2014,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2014,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2014,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Alabama,2015,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Alabama,2015,danger,Firearm purchase/possession prohibited if person deemed by court to be danger to oneself or others,Current,
Alabama,2015,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2015,dealerh,State dealer license required for handgun sales,Current,
Alabama,2015,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2015,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2015,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Alabama,2015,mcdv,State law automatically prohibits misdemeanor crime of domestic violence (MCDV) offenders from possessing firearms,Current,
Alabama,2015,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Alabama,2016,invcommitment,Involuntary commitment (inpatient) is prohibitive for firearm purchase/possession,Current,
Alabama,2016,danger,Firearm purchase/possession prohibited if person deemed by court to be danger to oneself or others,Current,
Alabama,2016,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,2016,dealerh,State dealer license required for handgun sales,Current,
Alabama,2016,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,2016,ccbackground,Concealed carry permit process requires a background check,Current,
Alabama,2016,ccrenewbackground,Concealed carry permit renewal requires a new background check,Current,
Alabama,2016,mcdv,State law automatically prohibits misdemeanor crime of domestic violence (MCDV) offenders from possessing firearms,Current,
Alabama,2016,dvro,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms,Current,
Alaska,1991,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1991,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1991,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1991,mayissue,"""May issue"" state",Repealed,
Alaska,1991,nosyg,No stand your ground law,Repealed,
Alaska,1991,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1992,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1992,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1992,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1992,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1992,mayissue,"""May issue"" state",Repealed,
Alaska,1992,nosyg,No stand your ground law,Repealed,
Alaska,1992,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1993,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1993,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1993,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1993,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1993,mayissue,"""May issue"" state",Repealed,
Alaska,1993,nosyg,No stand your ground law,Repealed,
Alaska,1993,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1994,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1994,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1994,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1994,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1994,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1994,nosyg,No stand your ground law,Repealed,
Alaska,1994,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1995,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1995,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1995,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1995,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1995,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1995,nosyg,No stand your ground law,Repealed,
Alaska,1995,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1996,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1996,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1996,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1996,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1996,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1996,nosyg,No stand your ground law,Repealed,
Alaska,1996,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1997,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1997,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1997,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1997,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1997,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1997,nosyg,No stand your ground law,Repealed,
Alaska,1997,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1998,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1998,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1998,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1998,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1998,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1998,nosyg,No stand your ground law,Repealed,
Alaska,1998,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alaska,1999,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,1999,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,1999,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,1999,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,1999,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,1999,nosyg,No stand your ground law,Repealed,
Alaska,2000,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,2000,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,2000,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
Alaska,2000,permitconcealed,Permit required to carry concealed weapons,Repealed,
Alaska,2000,ccbackground,Concealed carry permit process requires a background check,Repealed,
Alaska,2000,nosyg,No stand your ground law,Repealed,
Alaska,2001,felony,Felony conviction is prohibitive for firearm purchase/possession,Current,
Alaska,2001,age18longgunsale,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older,Current,
Alaska,2001,elementary,"No gun carrying on elementary school property, including concealed weapons permittees",Current,
